reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
C95,1,2.2uF,Device:C,400.05,310.515,0,x,1:GND; 2:+3.3V
C124,1,1uF,Device:C,538.48,45.085,180,,1:GND; 2:+3.3V
R22,1,49.9,Device:R,125.095,321.945,180,,1:/TX_N; 2:Net-(TR1-C_RD)
#PWR022,1,GNDA,power:GNDA,53.975,57.785,0,,1:None
R35,1,33,Device:R,236.855,31.115,90,,1:/CIS_ADC_1; 2:Net-(J3-SIG1)
#PWR0202,1,+3.3V,power:+3.3V,379.73,365.76,0,,1:None
#FLG06,1,PWR_FLAG,power:PWR_FLAG,201.93,359.41,90,,1:None
#PWR089,1,GNDA,power:GNDA,173.99,92.075,0,,1:None
#PWR0244,1,GND,power:GND,448.31,32.385,0,y,1:None
#PWR0161,1,GND,power:GND,288.29,200.66,90,,1:None
#PWR0210,1,+3.3V,power:+3.3V,393.7,306.705,0,y,1:None
C11,1,100nF,Device:C,47.625,53.975,0,y,1:Net-(U3-AINGND1); 2:GNDA
R21,1,49.9,Device:R,120.015,321.945,180,,1:/TX_P; 2:Net-(TR1-C_RD)
#PWR0101,1,GND,power:GND,201.93,382.905,0,,1:None
#PWR0263,1,+3.3V,power:+3.3V,567.69,55.245,0,y,1:None
C104,1,100nF,Device:C,413.385,45.085,0,x,1:GND; 2:+3.3V
C39,1,100nF,Device:C,133.35,367.03,180,,1:GND; 2:Net-(TR1-C_RD)
#PWR043,1,GNDA,power:GNDA,85.725,78.105,0,,1:None
#PWR052,1,GND,power:GND,93.345,88.265,270,,1:None
#PWR0164,1,GND,power:GND,290.195,243.84,90,,1:None
#PWR053,1,+3.3V,power:+3.3V,93.345,304.8,0,,1:None
#PWR0104,1,+3.3V,power:+3.3V,205.105,154.305,0,,1:None
C100,1,18pF,Device:C,407.035,234.315,180,,1:GND; 2:Net-(U14-PH1)
C52,1,10nF,Device:C,187.96,379.095,0,,1:Net-(TR1-C_TX); 2:Net-(C52-Pad2)
